date,title,digest,score
2023-10-28,沪深交易所发布REITs临时报告指引完善信息披露体系建设,沪深交易所发布《公开募集基础设施证券投资基金业务指引第5号——临时报告（试行）》，以“管资产”为核心完善REITs信息披露体系。指引重点规范与REITs业绩、底层资产运营及基金运作相关的披露要求，压实基金管理人和运营管理机构的信息披露责任，细化基础设施项目运营情况、基金交易及治理事项的披露标准，并设置二级市场价格波动披露和停复牌情形标准。,2
2023-11-04,国家发改委建立REITs前期辅导工作机制帮助民间投资项目尽快达到发行基本要求,国家发改委建立REITs前期辅导工作机制，帮助民间投资项目尽快达到发行基本要求。仓储物流等领域已实现成功发行。,1
2023-11-07,证监会券商风控指标规定拟修订优化做市资管公募REITs等业务指标,证监会就修订《证券公司风险控制指标计算标准规定》公开征求意见，拟优化证券公司开展做市、资产管理、参与公募REITs等业务的风险控制指标计算标准，并拓展优质证券公司资本空间。,1
2023-11-08,国办函115号文积极支持符合条件的特许经营项目发行公募REITs,国务院办公厅转发国家发展改革委、财政部指导意见，提出积极支持符合条件的特许经营项目发行基础设施领域不动产投资信托基金（REITs）。文件明确特许经营项目应聚焦使用者付费，并鼓励金融机构提供融资支持。该指导意见旨在规范政府和社会资本合作新机制，拓宽民间投资空间。,1
2023-11-13,文旅部鼓励依托景区项目发行REITs探索旅游项目特许经营权试点工作,文旅部发布《国内旅游提升计划（2023-2025年）》，提出加强金融支持，鼓励在依法界定景区资源资产产权主体权利和义务的基础上，依托景区项目发行基础设施领域不动产投资信托基金（REITs）。同时，计划探索在部分地区开展旅游项目收益权、旅游项目（景区）特许经营权入市交易及备案登记试点工作。,1
2023-11-20,央行证监会等三部门发声加大房企发展REITs的融资支持力度,中国人民银行、证监会等三部门联合召开会议，明确将加大房企发展REITs的融资支持力度。会议提出支持房地产企业通过资本市场进行合理股权融资，并积极支持民营房企发展。同时，会议提及已完成首批保障性租赁住房REITs发行，并已推动消费基础设施公募REITs发展，相关业务规则已发布，首批消费基础设施REITs项目已获受理。,1
2023-11-29,国家发改委公开征求特许经营管理办法意见稿支持特许经营REITs发行,国家发改委就《基础设施和公用事业特许经营管理办法（修订征求意见稿）》公开征求意见，意见征求时间为2023年11月28日至12月28日。征求意见稿第二十八条明确提出，积极支持符合条件的特许经营项目发行基础设施领域不动产投资信托基金（REITs）。,1
2023-12-06,财政部拟将公募REITs纳入社保基金投资范围,财政部联合人社部对《全国社会保障基金投资管理暂行办法》进行修订，起草了《全国社会保障基金境内投资管理办法（征求意见稿）》。该《意见稿》第十三条明确将公开募集基础设施证券投资基金（即公募REITs）纳入全国社保基金可投资的境内产品和工具范围。,2
2024-01-04,国家数据局完善强化数据中心REITs等政策金融工具支持力度,国家数据局表示将完善数据中心REITs等政策工具设计，强化政策性金融工具支持力度。该内容出自《深入实施“东数西算”工程 加快构建全国一体化算力网的实施意见》的配套解读，旨在推动算力基础设施发展。,1
2024-01-08,央行等两部门稳步发展房地产投资信托基金支持住房租赁市场发展,央行与金融监管总局发布意见，提出稳步发展房地产投资信托基金（REITs），支持住房租赁市场发展。意见明确将稳步推进REITs试点，募集资金用于住房租赁企业持有运营长期租赁住房，并支持REITs份额交易流通。试点将优先支持国家政策重点支持区域及人口净流入大城市，为利用各类建设用地依法依规建设和持有运营长期租赁住房的企业提供资金支持。,1
2024-02-04,公募FOF正式进场首投公募REITs,公募FOF首次投资公募REITs，两只FOF重仓四只REITs产品，持仓总市值87万元。目前有264只公募FOF将REITs纳入投资范围，占比54%。多位业内人士指出，REITs数量偏少、二级市场表现较弱，去年加权价格指数下跌23%，今年继续下跌。基金经理建议投资需精挑细选，关注产权类REITs和被错杀品种。,2
2024-02-08,证监会发布4号指引明确REITs并表型会计处理,证监会发布《监管规则适用指引——会计类第4号》，明确REITs并表型会计处理。指引指出，并表原始权益人合并财务报表层面对于基础设施REITs其他方持有的份额，应列报为负债还是权益，主要取决于原始权益人是否存在无条件避免交付现金或其他金融资产的义务。具体考虑因素包括基础设施REITs是否可以避免现金分配义务以及是否可以避免到期强制清算义务。若满足特定条件，如发行人有权选择终止上市以避免现金分配义务，或可通过扩募延期避免强制清算，且无其他导致金融负债的约定，则份额应列报为权益。,2
2024-02-26,证监会发布两会建议提案将会同国家发改委积极推进消费REITs落地,证监会表示将会同国家发改委积极推进消费基础设施REITs项目落地，明确支持消费基础设施建设，优先支持百货商场、购物中心、农贸市场等城乡商业网点项目及社区商业项目发行基础设施REITs，以推动盘活存量资产、扩大有效投资和提振消费。,1
2024-02-27,新规解读会计类4号文明确REITs属于权益属性,《监管规则适用指引——会计类第4号》明确REITs属于权益工具属性。上海证券交易所将组织“REITs投资大家谈”活动，对指引进行解读。,1
2024-03-04,聚焦两会提案稳步扩大REITs试点范围助力经济高质量发展,全国政协委员杨宗儒在全国两会期间提议稳步扩大REITs试点范围，推动市场高质量发展。截至2024年1月底，证监会已批准注册40只REITs产品，募集资金超1000亿元，资产类型覆盖收费公路、产业园区等多种领域。REITs有助于盘活存量资产、降低企业资产负债率，并具有中等收益风险特性。提案建议扩大试点范围、加强运营管理、优化审核机制、健全多层次市场及加快专项立法。,1
2024-03-20,公募REITs获证监会专属信息披露将定期披露产品申请核准进度,证监会首次发布《基础设施证券投资基金募集申请行政许可受理及审核情况公示》，对公募REITs产品的申报和受理情况进行专属信息披露。该公示以表格形式反映REITs产品募集申请的核准进度，每周更新一次。截至3月14日，全市场公募REITs数量已达45只，其中多只产品在2024年获得第一次反馈意见，最新上报的是中信建投明阳智能新能源REIT。,1
2024-04-09,国家发改委等6部门颁布17号令积极支持符合条件的特许经营项目发行REITs,国家发改委等六部门颁布《基础设施和公用事业特许经营管理办法》，自2024年5月1日起施行。该办法明确提出积极支持符合条件的特许经营项目发行基础设施领域不动产投资信托基金（REITs）。同时，鼓励特许经营项目公司进行结构化融资，发行项目收益票据、不动产信托资产支持票据和资产证券化产品。办法将特许经营最长期限延长到40年，并明确鼓励民营企业通过直接投资、控股、参股等方式参与特许经营项目。,1
2024-04-11,央行等七部门支持清洁能源等符合条件的基础设施项目发行REITs,央行等七部门发布关于进一步强化金融支持绿色低碳发展的指导意见，其中明确提出支持清洁能源等符合条件的基础设施项目发行不动产投资信托基金（REITs）产品。该意见旨在通过金融手段推动绿色低碳发展，并鼓励在绿色金融框架下拓展相关融资渠道。,1
2024-04-13,国务院出台资本市场第三个国九条推动债券和REITs市场高质量发展,国务院出台资本市场第三个“国九条”意见，其中明确提出推动债券和不动产投资信托基金（REITs）市场高质量发展。意见还提到将研究制定不动产投资信托基金管理条例，并落实和完善REITs等税收政策。,1
2024-04-20,证监会支持新基建数据中心等新型基础设施发行REITs,中国证监会发布《资本市场服务科技企业高水平发展的十六项措施》，其中第九条提出支持有条件的新基建、数据中心等新型基础设施以及科技创新产业园区发行科技创新领域REITs，以拓宽增量资金来源。,1
2024-04-20,重磅证监会将REITs纳入沪深港通,中国证监会宣布将采取五项措施拓展优化沪深港通机制，其中包括将内地和香港合资格的REITs纳入沪深港通标的，以丰富交易品种。此举旨在配合国务院关于资本市场高质量发展的意见，深化两地合作，共同促进资本市场协同发展。,2
2024-06-22,重磅中证REITs实时指数要来了,中证指数公司将于6月24日发布中证REITs实时指数，并对现有收盘指数和全收益指数的编制方案进行修订。修订内容包括增加流动性筛选条件（当上市REITs达50只后剔除成交金额后10%的样本）和设置前五大样本权重合计不超过40%的约束。中证REITs（收盘）指数最近一年分红市值比近7%，今年截至5月底上涨5.2%。实时指数的发布将为市场提供参考基准，并为后续指数化投资产品开发建立基础。,2
2024-07-16,国家发改委国家能源局鼓励煤电低碳项目发行公募REITs,国家发改委与国家能源局联合印发《煤电低碳化改造建设行动方案(2024—2027年)》，提出对纳入项目清单的煤电低碳项目，探索建立由政府、企业、用户三方共担的分摊机制，并给予阶段性支持政策。方案明确鼓励符合条件的煤电低碳项目通过发行基础设施领域不动产投资信托基金（REITs）等渠道进行融资。,1
2024-07-26,国家发改委全面推动REITs项目常态化发行的通知1014号文发布,国家发改委发布《全面推动REITs项目常态化发行的通知》（1014号文），宣布自2024年8月1日起全面推动基础设施REITs常态化发行。通知要求各参与方适应常态化发行要求，提升项目准备和材料编制能力，并强调发起人和基金管理人应承担主体责任。发改委将聚焦宏观政策符合性、投资管理合规性等推荐重点，改进项目申报要求，并优化审核流程以提高推荐效率。,2
2024-07-28,中纪委发布聚焦加快公募REITs健康发展持续加大监督力度,中央纪委国家监委驻中国证监会纪检监察组聚焦加快公募REITs健康发展，持续加大监督力度。其督促证监会突出项目质量把关，提高审核注册效率，并强化全链条风险防控。,1
2024-08-01,国务院支持符合条件的城市更新项目发行REITs,国务院印发的《深入实施以人为本的新型城镇化战略五年行动计划》中提出，支持符合条件的城市更新项目发行基础设施领域不动产投资信托基金（REITs）。该计划还提及将建立可持续的城市更新模式和政策法规，并落实相关税费优惠减免政策。,1
2024-08-02,国家发改委与证监会协同配合推动REITs常态化发行机制加快落地见效,国家发改委与证监会协同配合，推动REITs常态化发行机制加快落地见效。自8月1日起，基础设施REITs由试点转入常态化发行，覆盖的底层资产类型将更加多元，包括收费高速公路、产业园区、购物中心、仓储物流、养老设施、AAAA景区、燃煤发电等。常态化发行阶段，国家发改委不再对项目未来收益率提出要求，适当扩大发行范围，调整优化规模要求，提高回收资金使用灵活度。今年以来，REITs发行政策持续发布，包括明确REITs确认为权益属性产品，国务院新“国九条”三次提及REITs。自2020年试点启动以来，共有44个REITs项目发行上市，累计向投资者分红超130亿元。,1
2024-08-12,中共中央国务院支持符合条件的绿色转型项目发行REITs,中共中央、国务院发布《关于加快经济社会发展全面绿色转型的意见》，提出支持符合条件的新能源、生态环境保护等绿色转型相关项目发行基础设施领域不动产投资信托基金（REITs）。,1
2024-08-27,央行发改委等八部门联合发布支持长江经济带相关企业利用多层次资本市场融资发展,央行等八部门联合发布指导意见，支持长江经济带绿色低碳企业利用多层次资本市场融资，包括支持符合条件的基础设施项目发行资产证券化产品和基础设施REITs。同时，鼓励公募基金管理人布局相关主题基金，并探索生态产品资产证券化路径。,1
2024-10-08,国家发改委支持更多符合条件的民间资本项目发行基础设施REITs,国家发改委表示将规范实施政府和社会资本合作新机制，支持更多符合条件的民间资本项目发行基础设施REITs。同时，将加快完善民营企业参与国家重大项目建设的长效机制，持续推介优质项目，推动民间资本参与铁路、能源、水利等重大基础设施项目。,1
2024-10-29,上交所副总经理王红积极推进REITs指数化产品落地,上交所副总经理王红表示将积极稳妥推进REITs指数化产品落地。目前全市场已上市46只REITs，市场运行稳定，推出REITs-ETF产品将有助于分散风险、增强投资吸引力，并为激活REITs市场和盘活存量资产提供新动力。,1
2024-11-12,民政部等24部门联合发文支持养老设施纳入REITs范围,民政部等24部门联合发文，提出支持养老设施纳入基础设施领域不动产投资信托基金（REITs）发行范围。该措施旨在鼓励各类金融机构按市场化法治化原则支持养老服务体系建设，加大普惠养老服务供给。,1
2024-11-18,证监会副主席李明稳步推进REITs纳入沪深港通各项工作,证监会副主席李明表示，正在稳步推进将REITs纳入沪深港通的各项工作。同时，中国证监会将继续优化完善互联互通机制，并深化机构产品合作，以支持市场健康稳定发展。,1
2024-12-06,中办国办发文支持新型城市基础设施项目发行REITs,中共中央办公厅、国务院办公厅发文支持推进新型城市基础设施建设，提出通过地方政府专项债券、以奖代补等方式提供支持。文件明确鼓励金融机构按市场化原则增加中长期信贷投放，并支持符合条件的新型城市基础设施项目发行基础设施领域不动产投资信托基金（REITs）。,1
2025-01-03,国新办新闻发布会更大力度支持基础设施REITs市场扩围扩容,国家发展改革委在国新办新闻发布会上表示，将更大力度支持基础设施REITs市场扩围扩容，作为高水平调动社会投资的举措之一。此举旨在拓展民间投资发展空间，并帮助民营企业解决融资问题。,1
2025-02-08,证监会支持人工智能等新型基础设施项目发行REITs,证监会发布《关于资本市场做好金融“五篇大文章”的实施意见》，提出支持人工智能、数据中心、智慧城市等新型基础设施项目发行REITs融资，并探索以养老设施等作为基础资产发行资产支持证券和REITs。,1
2025-03-09,全国政协委员上交所总经理蔡建春进一步做深做实REITs市场建设,全国政协委员、上交所总经理蔡建春建议加快推进多层次REITs市场建设。他指出当前REITs市场存在规模较小、投资者结构单一、产品结构复杂等问题。具体建议包括：首发与扩募并重推动市场扩容；引入社保基金、养老金等长期资金，推出REITs-ETF产品；加快REITs专项立法，优化产品结构和治理机制。,1
2025-05-10,证监会将抓紧研究择机出台公开募集不动产投资基金监督管理暂行办法,证监会已将《公开募集不动产投资基金监督管理暂行办法》纳入2025年度立法工作计划，属于“需要抓紧研究、择机出台的项目”。该计划旨在加强资本市场重点领域监管，保护投资者权益。此外，证监会还将配合制定《不动产投资基金管理条例》等行政法规。,1
2025-06-25,中国人民银行等六部门支持符合条件的消费基础设施发行REITs,中国人民银行等六部门联合印发《关于金融支持提振和扩大消费的指导意见》，提出支持符合条件的消费基础设施发行基础设施领域不动产投资信托基金（REITs）。该意见明确围绕文旅体育设施、赛事演艺场馆、医疗养老设施、通信基站、充电装备、适老改造等消费基础设施建设重点领域，探索创新金融产品和融资模式。,1
2025-08-18,央行积极运用REITs资产证券化等方式拓宽数字基础设施建设资金来源,中国人民银行等七部门联合印发《关于金融支持新型工业化的指导意见》，提出将积极运用不动产信托投资基金（REITs）和资产证券化等方式，拓宽数字基础设施建设资金来源。,1
2025-09-15,国家发展改革委发布关于进一步做好公募REITs常态化申报推荐工作的通知782,国家发展改革委发布782号文，进一步推动公募REITs常态化申报推荐工作。文件聚焦市场扩围扩容，要求加快成熟资产类型项目申报，并积极研究新资产类型项目发行。通知支持已上市REITs通过扩募方式购入新项目，并简化了申报流程。同时，文件强调严格项目质量把关，并宣布将上线REITs项目信息系统以提升管理效率。,2
